Window,Metric,Control_Mean,PD_Mean,P_val,Drop_%
Day (10am-4pm),HR,70.17452394162972,82.21978427033072,0.0002485564426005032,17.16471969046787
Day (10am-4pm),SDNN,0.08931444847215753,0.061348665596395166,0.015552597186288973,-31.311600031298724
Day (10am-4pm),SD2,0.034884757394230165,0.020567349455423413,0.10191081426483803,-41.04201665216341
Day (10am-4pm),Complexity,0.9509647851622834,0.6614910499261706,0.0002486579838873703,-30.44000574497759
Day (10am-4pm),Norm_Comp,0.01377579061705142,0.008118656392034806,1.0391784905103946e-06,-41.06576807297229
Day (10am-4pm),DFA_alpha1,0.9328258267025721,0.8491865358512705,0.2596350839598516,-8.966228041407957
Night (12am-6am),HR,59.99539462907167,68.71534401083508,0.0008594358187022395,14.534364571940044
Night (12am-6am),SDNN,0.091890581267196,0.06324051756567864,0.020996622249850345,-31.178455187055327
Night (12am-6am),SD2,0.05192554782341791,0.026831508468697658,0.030948410476197875,-48.32696121003289
Night (12am-6am),Complexity,0.9799452243475593,0.9611524886988573,0.7734516150742773,-1.9177332754709897
Night (12am-6am),Norm_Comp,0.016717104402371865,0.014630671945958285,0.0935194032877256,-12.480824466930716
Night (12am-6am),DFA_alpha1,0.970027389143238,0.8871768235455016,0.15916118063926624,-8.541054255273442
